id,midi,note,onsetBeforeSec,onsetAfterSec,gainApplied,peakAfter,fullRmsAfter,attackRmsAfter,midRmsAfter
m038,38,D2,0.00059,0.004,0.9994886696,0.15363844,0.03135358,0.04843375,0.02889068
m039,39,Eb2,0.000567,0.004,0.9993649866,0.15303996,0.03135648,0.04886776,0.02869206
m040,40,E2,0.000544,0.004,1.0043929658,0.16070655,0.0313461,0.04957211,0.02816518
m041,41,F2,0.002971,0.004,0.9996917636,0.14442568,0.0313325,0.05031318,0.02803654
m042,42,Gb2,0.003946,0.004,1.0000215072,0.17386238,0.03128574,0.05186398,0.02747137
m043,43,G2,0.003968,0.004,1.0013477536,0.19939557,0.03127834,0.05026096,0.02834199
m044,44,Ab2,0.003968,0.004,0.9989835693,0.2073086,0.0313328,0.05070916,0.02779001
m045,45,A2,0.003991,0.004,0.9996963554,0.20858533,0.03133087,0.05149539,0.02731917
m046,46,Bb2,0.003968,0.004,0.9988835892,0.22054818,0.03133391,0.05227682,0.02692661
m047,47,B2,0.003946,0.004,0.9996400037,0.17654165,0.03146007,0.04778446,0.02857728
m048,48,C3,0.004014,0.004,1.0050667128,0.17854289,0.03128168,0.05216534,0.02707772
m049,49,Db3,0.000726,0.004,0.9907684326,0.15075596,0.03149419,0.05415159,0.02527745
m050,50,D3,0.003855,0.004,1.0056494583,0.18413992,0.03137746,0.04911471,0.02810216
m051,51,Eb3,0.003923,0.004,1.0035296605,0.19808441,0.03140619,0.04620348,0.02986092
m052,52,E3,0.003991,0.004,0.9987602099,0.20339132,0.03141173,0.04825673,0.02871723
m053,53,F3,0.000658,0.004,1.0044256963,0.22808629,0.03135684,0.05217383,0.02665612
m054,54,Gb3,0.00415,0.004,0.9980732117,0.2122063,0.03199304,0.05594655,0.02137415
m055,55,G3,0.004104,0.004,1.000390722,0.2185607,0.03197489,0.05628448,0.02123046
m056,56,Ab3,0.003923,0.004,1.0002581911,0.23159665,0.03197091,0.05668151,0.02110798
m057,57,A3,0.002086,0.004,0.9980046713,0.29177505,0.03132008,0.04586224,0.03084185
m058,58,Bb3,0.002154,0.004,0.9999722397,0.29680573,0.03127204,0.04633321,0.03081138
m059,59,B3,0.002313,0.004,0.9995732224,0.27908616,0.0312106,0.04708036,0.03084629
m060,60,C4,0.002086,0.004,0.9995724542,0.29168432,0.03116325,0.04783295,0.0306896
m061,61,Db4,0.002268,0.004,0.9974742272,0.30537907,0.0311623,0.04852268,0.03042383
m062,62,D4,0.002585,0.004,1.0044513834,0.3084654,0.03118472,0.04898442,0.02964951
m063,63,Eb4,0.00127,0.004,0.9980169014,0.33186011,0.03160399,0.05574318,0.02371445
m064,64,E4,0.002585,0.004,1.0054369315,0.39903892,0.03257012,0.05003259,0.02055904
m065,65,F4,0.003061,0.004,1.0046855991,0.31923787,0.03137136,0.05152029,0.02686024
m066,66,Gb4,0.003946,0.004,0.9894214365,0.27129979,0.03183812,0.0571023,0.02203398
m067,67,G4,0.002698,0.004,1.0089467815,0.33512502,0.03145532,0.05309804,0.02531773
m068,68,Ab4,0.002358,0.004,0.997544561,0.35045572,0.03161018,0.05371534,0.02460371
m069,69,A4,0.002653,0.004,1.0021228595,0.41625654,0.03216292,0.04902862,0.02317447
m070,70,Bb4,0.000317,0.004,0.9971185685,0.2218321,0.03138061,0.04759179,0.02933702
m071,71,B4,0.000839,0.004,1.0013793492,0.19047844,0.03173772,0.05188297,0.02439922
m072,72,C5,0.002971,0.004,0.9993705435,0.28872806,0.03157086,0.0545707,0.0243599
m073,73,Db5,0.001361,0.004,1.0051700606,0.41273691,0.03178669,0.05826243,0.02146538
m074,74,D5,0.0,0.004,1.0049235369,0.33731549,0.03166185,0.05331996,0.02433245
m075,75,Eb5,0.001224,0.004,1.0090538161,0.42166058,0.03117944,0.04831963,0.03005152
m076,76,E5,0.002971,0.004,0.9963114843,0.27829709,0.03211192,0.05821337,0.02005784
m077,77,F5,0.003741,0.004,1.0049224576,0.35237302,0.03201651,0.05466693,0.02151824
m078,78,Gb5,0.003787,0.004,0.9998053455,0.29852586,0.03113344,0.04706836,0.03153504
m079,79,G5,0.002766,0.004,0.9998830435,0.43686907,0.03198287,0.05730677,0.02095
m080,80,Ab5,0.003741,0.004,1.0119451301,0.38639702,0.03356861,0.06448853,0.01245187
m081,81,A5,0.00322,0.004,1.0027479414,0.29438584,0.03302287,0.06137959,0.01511244
m082,82,Bb5,0.003923,0.004,1.0008221855,0.33783246,0.03122142,0.04911971,0.02948559
m083,83,B5,0.003764,0.004,1.0000804274,0.31527194,0.03118275,0.04983249,0.02936176
