id,midi,note,hz,source,gainApplied,onsetBeforeSec,onsetAfterSec,peakBefore,peakAfter,fullRmsBefore,fullRmsAfter,attackRmsBefore,attackRmsAfter,midRmsBefore,midRmsAfter,outliers
m036,36,C2,65.406391,Piano.ff.C2.aiff,1.0601567951,0.229002,0.004104,0.17630196,0.13214642,0.0150602126,0.0112694162,0.0469459571,0.0351371064,0.0283503377,0.0212158845,ATTACK_RMS_ODD
m037,37,Db2,69.295658,Piano.ff.Db2.aiff,1.1055539821,0.342857,0.004082,0.18074726,0.14127508,0.0141704985,0.0110527597,0.0512374074,0.039978106,0.0266311009,0.0207609606,
m038,38,D2,73.416192,Piano.ff.D2.aiff,1.144877387,0.433537,0.004059,0.18873157,0.15267475,0.0137035892,0.0110711053,0.0480849251,0.0388438174,0.0264600702,0.021380979,
m039,39,Eb2,77.781746,Piano.ff.Eb2.aiff,1.1944678694,0.330794,0.004218,0.17981936,0.15170175,0.0131619858,0.0110856643,0.0494896128,0.0416693392,0.0210485962,0.0177260474,ONSET_LATE
m040,40,E2,82.406889,Piano.ff.E2.aiff,0.9987215329,0.489433,0.004195,0.22172613,0.15655395,0.0155495014,0.0109588834,0.0581400003,0.0409764285,0.0271857827,0.0191647179,ONSET_LATE
m041,41,F2,87.307058,Piano.ff.F2.aiff,0.6674894619,0.490136,0.004014,0.33814585,0.15925175,0.025681851,0.0121040345,0.1079269204,0.0508776088,0.0392425147,0.0184809659,
m042,42,Gb2,92.498606,Piano.ff.Gb2.aiff,0.9987215329,0.395918,0.004059,0.22843726,0.16432233,0.0142299882,0.0100161216,0.056003438,0.0393909675,0.0212792803,0.0149908871,
m043,43,G2,97.998859,Piano.ff.G2.aiff,1.0123473061,0.446168,0.004127,0.21717292,0.15287231,0.0155643773,0.0111175932,0.0617319453,0.0440884913,0.0243620397,0.0174056176,ONSET_LATE
m044,44,Ab2,103.826174,Piano.ff.Ab2.aiff,0.8574887945,0.705737,0.004014,0.28590265,0.17113249,0.0185841451,0.0112363812,0.0683512513,0.04130293,0.0342534559,0.0207273019,
m045,45,A2,110.0,Piano.ff.A2.aiff,1.0396456871,0.588163,0.004036,0.17988411,0.13223408,0.0147438332,0.010820398,0.054137029,0.0397332146,0.0294182449,0.0215904772,
m046,46,Bb2,116.54094,Piano.ff.Bb2.aiff,0.9182624223,0.559002,0.004172,0.21799293,0.14281756,0.0170473507,0.0110516762,0.0641440768,0.0415968177,0.0322547504,0.0208931806,ONSET_LATE
m047,47,B2,123.470825,Piano.ff.B2.aiff,0.8631002112,0.647868,0.003991,0.21633135,0.13181685,0.0179908066,0.01095954,0.0680509058,0.0414564863,0.0342115684,0.0208382819,
m048,48,C3,130.812783,Piano.ff.C3.aiff,0.7629003504,0.581723,0.004036,0.2138713,0.11529416,0.0207022916,0.0111582259,0.0758910532,0.0409184695,0.0420136807,0.0226339939,
m049,49,Db3,138.591315,Piano.ff.Db3.aiff,0.984250082,0.654966,0.003991,0.18314256,0.12707387,0.0157448389,0.0109407925,0.0566995606,0.0393820698,0.0318229557,0.0221234971,
m050,50,D3,146.832384,Piano.ff.D3.aiff,1.166358944,0.527596,0.004014,0.18571047,0.1529731,0.0133665899,0.0110016371,0.0526778433,0.0433451283,0.0235708662,0.0194117768,
m051,51,Eb3,155.563492,Piano.ff.Eb3.aiff,1.2585360404,0.34449,0.004014,0.18519258,0.16224152,0.0124120704,0.0110457374,0.0498725666,0.0444081477,0.0176186954,0.0156478776,
m052,52,E3,164.813778,Piano.ff.E3.aiff,0.8495452916,0.764626,0.004014,0.27140144,0.16295975,0.0188962582,0.0113354663,0.0801683274,0.0480957904,0.0265364991,0.0159100477,
m053,53,F3,174.614116,Piano.ff.F3.aiff,0.7329487301,0.926735,0.004014,0.25321019,0.13326013,0.0219180803,0.0113392688,0.0940244057,0.048630489,0.0315017752,0.01631675,
m054,54,Gb3,184.997211,Piano.ff.Gb3.aiff,0.9004054314,0.378571,0.004014,0.25562704,0.1624517,0.0172263215,0.0109449706,0.0665242944,0.0422680163,0.0324227072,0.0205945379,
m055,55,G3,195.997718,Piano.ff.G3.aiff,1.0465826544,0.499297,0.004014,0.19490321,0.13996883,0.0151206712,0.0111652575,0.0589549786,0.043517671,0.0273491594,0.0202069982,
m056,56,Ab3,207.652349,Piano.ff.Ab3.aiff,1.5659342846,0.816259,0.004014,0.14106314,0.15732186,0.00963668,0.0106603429,0.0384825854,0.0425767222,0.0139902915,0.0154628207,
m057,57,A3,220.0,Piano.ff.A3.aiff,1.4438834112,0.767075,0.004036,0.1555212,0.16167443,0.0111959077,0.0114118816,0.0451782377,0.0460433057,0.0143774532,0.0146560641,
m058,58,Bb3,233.081881,Piano.ff.Bb3.aiff,1.3823171529,0.260748,0.003991,0.175633,0.1710016,0.0113103871,0.0110195157,0.0449405336,0.0437325997,0.0197862426,0.0193281376,
m059,59,B3,246.941651,Piano.ff.B3.aiff,1.2994352418,0.594263,0.003991,0.1834015,0.16589563,0.0121622079,0.0111599394,0.0525628839,0.0482293653,0.0142420517,0.0130708124,
m060,60,C4,261.625565,Piano.ff.C4.aiff,0.8684696402,0.548254,0.004036,0.26507872,0.16248596,0.0214108618,0.0131172833,0.0959065599,0.0587439702,0.0244848467,0.0150243957,FULL_RMS_ODD
m061,61,Db4,277.182631,Piano.ff.Db4.aiff,0.7916477813,0.584785,0.003991,0.28165153,0.15670252,0.0207994437,0.011642952,0.0941124207,0.0526856066,0.0204151181,0.0114214648,
m062,62,D4,293.664768,Piano.ff.D4.aiff,0.971619145,0.722381,0.003946,0.28383103,0.18402067,0.0159654332,0.0109495111,0.0673363595,0.0461701766,0.0272167261,0.0186793967,
m063,63,Eb4,311.126984,Piano.ff.Eb4.aiff,1.0751057345,0.596893,0.003991,0.21963295,0.16646463,0.0149097012,0.0113051894,0.0665063424,0.0504149067,0.0170828417,0.0129728929,
m064,64,E4,329.627557,Piano.ff.E4.aiff,1.0250703877,0.701474,0.004059,0.26248923,0.198982,0.0155364934,0.0112563387,0.0688436,0.049881996,0.0184066829,0.0133283891,
